member,data_stage,temperature_c,protocol,protocol_role,cell_id,extension,size_bytes,size_human
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Charge/60644.mat,Processed Data,10,C20_Charge,low-rate charge characterization,60644,.mat,1048991,1.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Charge/60031.mat,Processed Data,10,C20_Charge,low-rate charge characterization,60031,.mat,1109321,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Charge/59294.mat,Processed Data,10,C20_Charge,low-rate charge characterization,59294,.mat,1107831,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Charge/60403.mat,Processed Data,10,C20_Charge,low-rate charge characterization,60403,.mat,1086987,1.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Charge/59690.mat,Processed Data,10,C20_Charge,low-rate charge characterization,59690,.mat,1099275,1.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Charge/59627.mat,Processed Data,10,C20_Charge,low-rate charge characterization,59627,.mat,1122274,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Charge/60195.mat,Processed Data,10,C20_Charge,low-rate charge characterization,60195,.mat,1107662,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Charge/59485.mat,Processed Data,10,C20_Charge,low-rate charge characterization,59485,.mat,1109698,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Charge/59861.mat,Processed Data,10,C20_Charge,low-rate charge characterization,59861,.mat,1105864,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Charge/60129.mat,Processed Data,10,C20_Charge,low-rate charge characterization,60129,.mat,1128576,1.1 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Charge/60710.mat,Processed Data,10,C20_Charge,low-rate charge characterization,60710,.mat,1091557,1.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Discharge/59294.mat,Processed Data,10,C20_Discharge,low-rate discharge characterization,59294,.mat,1077301,1.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Discharge/59485.mat,Processed Data,10,C20_Discharge,low-rate discharge characterization,59485,.mat,1081865,1.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Discharge/59627.mat,Processed Data,10,C20_Discharge,low-rate discharge characterization,59627,.mat,1095015,1.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Discharge/59690.mat,Processed Data,10,C20_Discharge,low-rate discharge characterization,59690,.mat,1079550,1.0 MB
A Dataset for Large Prismatic Lithium-Ion Battery Cells (CALB L148N58A) Comprehensive Characterization and Real-World Driving Cycles/CALB L148N58A testing campaign/Processed Data/Temperature_10C/C20_Discharge/59861.mat,Processed Data,10,C20_Discharge,low-rate discharge characterization,59861,.mat,1081620,1.0 MB
