sample_id,dataset,dataset_key,cell_id,diagnostic_round,soc_percent,temperature_c,source_matrix_file,pseudo_soh_label_percent,pseudo_soh_label_percent_expected_rmse,pseudo_label_task,pseudo_label_status,pseudo_label_quality_verdict,pseudo_label_uncertainty_tier,pseudo_label_weight,pseudo_label_weight_rule,confidence_note
post_dib_selected::stanford::0,Stanford SECL INR21700-M50T,stanford_secl,Diag_1_W10_Ch6,1,80.0,22.82498359680176,cleaned_training_set_v2.csv,99.74473111111112,33.552121641676344,pseudo_rpt_from_time_series_plus_eis,pseudo_label_not_measurement,supports_cross_dataset_transfer_head,development_cross_dataset,0.5,"Usable only as a down-weighted development pseudo-label, never as a measurement.",development confidence: cross-dataset masked folds beat baseline; still not a measurement
post_dib_selected::stanford::1,Stanford SECL INR21700-M50T,stanford_secl,Diag_1_W10_Ch6,1,50.0,22.82498359680176,cleaned_training_set_v2.csv,99.81111111111112,33.552121641676344,pseudo_rpt_from_time_series_plus_eis,pseudo_label_not_measurement,supports_cross_dataset_transfer_head,development_cross_dataset,0.5,"Usable only as a down-weighted development pseudo-label, never as a measurement.",development confidence: cross-dataset masked folds beat baseline; still not a measurement
post_dib_selected::stanford::2,Stanford SECL INR21700-M50T,stanford_secl,Diag_1_W10_Ch6,1,20.0,22.82498359680176,cleaned_training_set_v2.csv,98.80857454092748,33.552121641676344,pseudo_rpt_from_time_series_plus_eis,pseudo_label_not_measurement,supports_cross_dataset_transfer_head,development_cross_dataset,0.5,"Usable only as a down-weighted development pseudo-label, never as a measurement.",development confidence: cross-dataset masked folds beat baseline; still not a measurement
post_dib_selected::stanford::3,Stanford SECL INR21700-M50T,stanford_secl,Diag_1_W3_Ch4,1,80.0,22.79990963230133,cleaned_training_set_v2.csv,63.06306953639522,33.552121641676344,pseudo_rpt_from_time_series_plus_eis,pseudo_label_not_measurement,supports_cross_dataset_transfer_head,development_cross_dataset,0.5,"Usable only as a down-weighted development pseudo-label, never as a measurement.",development confidence: cross-dataset masked folds beat baseline; still not a measurement
post_dib_selected::stanford::4,Stanford SECL INR21700-M50T,stanford_secl,Diag_1_W3_Ch4,1,50.0,22.79990963230133,cleaned_training_set_v2.csv,63.27132242788866,33.552121641676344,pseudo_rpt_from_time_series_plus_eis,pseudo_label_not_measurement,supports_cross_dataset_transfer_head,development_cross_dataset,0.5,"Usable only as a down-weighted development pseudo-label, never as a measurement.",development confidence: cross-dataset masked folds beat baseline; still not a measurement
post_dib_selected::stanford::5,Stanford SECL INR21700-M50T,stanford_secl,Diag_1_W3_Ch4,1,20.0,22.79990963230133,cleaned_training_set_v2.csv,63.86490641933878,33.552121641676344,pseudo_rpt_from_time_series_plus_eis,pseudo_label_not_measurement,supports_cross_dataset_transfer_head,development_cross_dataset,0.5,"Usable only as a down-weighted development pseudo-label, never as a measurement.",development confidence: cross-dataset masked folds beat baseline; still not a measurement
post_dib_selected::stanford::6,Stanford SECL INR21700-M50T,stanford_secl,Diag_1_W8_Ch4,1,80.0,22.90462875366211,cleaned_training_set_v2.csv,99.85584222222222,33.552121641676344,pseudo_rpt_from_time_series_plus_eis,pseudo_label_not_measurement,supports_cross_dataset_transfer_head,development_cross_dataset,0.5,"Usable only as a down-weighted development pseudo-label, never as a measurement.",development confidence: cross-dataset masked folds beat baseline; still not a measurement
post_dib_selected::stanford::7,Stanford SECL INR21700-M50T,stanford_secl,Diag_1_W8_Ch4,1,50.0,22.90462875366211,cleaned_training_set_v2.csv,99.98333333333333,33.552121641676344,pseudo_rpt_from_time_series_plus_eis,pseudo_label_not_measurement,supports_cross_dataset_transfer_head,development_cross_dataset,0.5,"Usable only as a down-weighted development pseudo-label, never as a measurement.",development confidence: cross-dataset masked folds beat baseline; still not a measurement
post_dib_selected::stanford::8,Stanford SECL INR21700-M50T,stanford_secl,Diag_1_W8_Ch4,1,20.0,22.90462875366211,cleaned_training_set_v2.csv,98.86968565203858,33.552121641676344,pseudo_rpt_from_time_series_plus_eis,pseudo_label_not_measurement,supports_cross_dataset_transfer_head,development_cross_dataset,0.5,"Usable only as a down-weighted development pseudo-label, never as a measurement.",development confidence: cross-dataset masked folds beat baseline; still not a measurement
post_dib_selected::stanford::9,Stanford SECL INR21700-M50T,stanford_secl,Diag_1_W9_Ch5,1,80.0,22.942358016967773,cleaned_training_set_v2.csv,99.85584222222222,33.552121641676344,pseudo_rpt_from_time_series_plus_eis,pseudo_label_not_measurement,supports_cross_dataset_transfer_head,development_cross_dataset,0.5,"Usable only as a down-weighted development pseudo-label, never as a measurement.",development confidence: cross-dataset masked folds beat baseline; still not a measurement
