task,fold_group,fold_key,train_rows,test_rows,model,baseline_rmse_all,model_rmse_all,relative_improvement_vs_baseline
masked_eis_from_time_series,dataset_key,dib_spent_validation,832,85,extra_trees,0.007889121872253432,0.01016112880773926,-0.2879923738377813
masked_eis_from_time_series,dataset_key,lifepo4_hev_harvested_cell_soh_workbook,719,198,ridge,0.05071297974336618,0.036050996167267445,0.28911698051062923
masked_eis_from_time_series,dataset_key,molicell_p42a_local_high_power_characterization,816,101,extra_trees,0.017949299369068663,0.05665041748115338,-2.15613530736341
masked_eis_from_time_series,dataset_key,radar4kit_repaired,566,351,extra_trees,0.016788983560781418,0.05465689553770191,-2.255521416161181
masked_eis_from_time_series,dataset_key,stanford_secl,735,182,extra_trees,0.009668356363918022,0.034802300824355974,-2.599608818127244
masked_eis_from_minimal_time_series_shallow_rf,dataset_key,dib_spent_validation,832,85,random_forest_shallow,0.007889121872253432,0.00435373439663705,0.44813447337536705
masked_eis_from_minimal_time_series_shallow_rf,dataset_key,lifepo4_hev_harvested_cell_soh_workbook,719,198,random_forest_shallow,0.05071297974336618,0.04586401165492693,0.09561591752205312
masked_eis_from_minimal_time_series_shallow_rf,dataset_key,molicell_p42a_local_high_power_characterization,816,101,random_forest_shallow,0.017949299369068663,0.04698461331837105,-1.6176293766283618
masked_eis_from_minimal_time_series_shallow_rf,dataset_key,radar4kit_repaired,566,351,random_forest_shallow,0.016788983560781418,0.05775194832488474,-2.4398716346230533
masked_eis_from_minimal_time_series_shallow_rf,dataset_key,stanford_secl,735,182,random_forest_shallow,0.009668356363918022,0.0329252220476374,-2.405462191124151
masked_eis_from_ohmic_time_series,dataset_key,dib_spent_validation,832,85,extra_trees,0.007889121872253432,0.004885291327444655,0.38075600725265124
masked_eis_from_ohmic_time_series,dataset_key,lifepo4_hev_harvested_cell_soh_workbook,719,198,extra_trees,0.05071297974336618,0.04728510864403554,0.06759356513218973
masked_eis_from_ohmic_time_series,dataset_key,molicell_p42a_local_high_power_characterization,816,101,random_forest,0.017949299369068663,0.009705968807696442,0.4592563972484428
masked_eis_from_ohmic_time_series,dataset_key,radar4kit_repaired,566,351,ridge,0.016788983560781418,0.008051916375911522,0.5204047733586108
masked_eis_from_ohmic_time_series,dataset_key,stanford_secl,735,182,random_forest,0.009668356363918022,0.0036808793906810537,0.6192859207778098
masked_eis_from_time_series_plus_rpt,dataset_key,dib_spent_validation,198,85,ridge,0.040176646015671995,0.058236495846358684,-0.4495111369834593
masked_eis_from_time_series_plus_rpt,dataset_key,lifepo4_hev_harvested_cell_soh_workbook,85,198,random_forest,0.047900352787135475,0.04697593593326593,0.019298748340697214
masked_eis_from_ohmic_time_series_plus_rpt,dataset_key,dib_spent_validation,198,85,ridge,0.040176646015671995,0.04967729481968191,-0.23647192451813742
masked_eis_from_ohmic_time_series_plus_rpt,dataset_key,lifepo4_hev_harvested_cell_soh_workbook,85,198,extra_trees,0.047900352787135475,0.04670618256816706,0.02493030112482033
masked_rpt_from_time_series,dataset_key,dib_spent_validation,198,85,random_forest,35.261579465066944,66.61937632074176,-0.8892907615423314
masked_rpt_from_time_series,dataset_key,lifepo4_hev_harvested_cell_soh_workbook,85,198,random_forest,37.91363092794381,35.704383148819204,0.05827054083327856
masked_rpt_from_time_series_plus_eis,dataset_key,dib_spent_validation,198,85,random_forest,35.261579465066944,65.27885866225863,-0.851274380006979
masked_rpt_from_time_series_plus_eis,dataset_key,lifepo4_hev_harvested_cell_soh_workbook,85,198,random_forest,37.91363092794381,34.18045806396556,0.09846518976442202
masked_rpt_from_dataset_relative_time_series,dataset_key,dib_spent_validation,198,85,random_forest,35.261579465066944,34.138654328255086,0.03184557112435424
masked_rpt_from_dataset_relative_time_series,dataset_key,lifepo4_hev_harvested_cell_soh_workbook,85,198,random_forest,37.91363092794381,36.30757420702142,0.04236093145430351
masked_rpt_from_dataset_relative_time_series_plus_eis,dataset_key,dib_spent_validation,198,85,extra_trees,35.261579465066944,33.0243792273086,0.06344583174371701
masked_rpt_from_dataset_relative_time_series_plus_eis,dataset_key,lifepo4_hev_harvested_cell_soh_workbook,85,198,random_forest,37.91363092794381,34.07986405604409,0.10111843097238375
